;superpower_Accuracy;superpower_Agility;superpower_Durability;superpower_Intelligence;superpower_Longevity;superpower_Reflexes;superpower_Stamina;superpower_Super_Strength;superpower_Telepathy;superpower_Underwater_breathing;superpower_Weapons_Master;superpower_Lantern_Power_Ring;superpower_Healing_Factor;superpower_Immortality;superpower_Regeneration;superpower_Energy_Absorption;superpower_Energy_Beams;superpower_Energy_Blasts;superpower_Power_Suit;superpower_Danger_Sense;superpower_Energy_Manipulation;superpower_Flight;superpower_Force_Fields;superpower_Hypnokinesis;superpower_Invisibility;superpower_Phasing;superpower_Super_Speed;superpower_Teleportation;superpower_Power_Augmentation;superpower_Gliding;superpower_Toxin_and_Disease_Resistance;superpower_Vision_-_Telescopic;superpower_Animal_Attributes;superpower_Animal_Oriented_Powers;superpower_Toxikinesis;superpower_Empathy;superpower_Size_Changing;superpower_Hydrokinesis;superpower_Endurance;superpower_Enhanced_Hearing;superpower_Enhanced_Senses;superpower_Sonar;superpower_Vision_-_Night;superpower_Wallcrawling;superpower_Energy_Armor;superpower_Psionic_Powers;superpower_Omnilingualism;superpower_Weapon-based_Powers;superpower_Invulnerability;superpower_Self-Sustenance;superpower_Duplication;superpower_Radiation_Immunity;superpower_Density_Control;superpower_Illumination;superpower_Molecular_Combustion;superpower_Molecular_Manipulation;superpower_Astral_Travel;superpower_Illusions;superpower_Intangibility;superpower_Magic;superpower_Precognition;superpower_Audiokinesis;superpower_Sonic_Scream;superpower_Human_physical_perfection;superpower_Stealth;superpower_Dexterity;superpower_Jump;superpower_Natural_Weapons;superpower_Natural_Armor;superpower_Shapeshifting;superpower_Sub-Mariner;superpower_Omnitrix;superpower_Cross-Dimensional_Awareness;superpower_Reality_Warping;superpower_Telekinesis;superpower_Time_Travel;superpower_Probability_Manipulation;superpower_Vision_-_Infrared;superpower_Electrokinesis;superpower_Enhanced_Memory;superpower_Enhanced_Smell;superpower_Cold_Resistance;superpower_Heat_Resistance;superpower_Symbiote_Costume;superpower_Technopath/Cyberpath;superpower_Vision_-_X-Ray;superpower_Astral_Projection;superpower_Mind_Blast;superpower_Mind_Control;superpower_Mind_Control_Resistance;superpower_Telepathy_Resistance;superpower_Vision_-_Thermal;superpower_Hyperkinesis;superpower_Spatial_Awareness;superpower_Clairvoyance;superpower_Magic_Resistance;superpower_Super_Breath;superpower_Terrakinesis;superpower_Cross-Dimensional_Travel;superpower_Power_Sense;superpower_Darkforce_Manipulation;superpower_Gravitokinesis;superpower_Aerokinesis;superpower_Geokinesis;superpower_Pyrokinesis;superpower_Energy_Resistance;superpower_Photokinesis;superpower_Echokinesis;superpower_Enhanced_Touch;superpower_Radar_Sense;superpower_Levitation;superpower_Possession;superpower_Vision_-_Microscopic;superpower_Banish;superpower_Timeframe_Control;superpower_Elasticity;superpower_Camouflage;superpower_Substance_Secretion;superpower_Fire_Resistance;superpower_Heat_Generation;superpower_Energy_Constructs;superpower_Projection;superpower_Grim_Reaping;superpower_Power_Absorption;superpower_Vision_-_Heat;superpower_Radiation_Absorption;superpower_Thermokinesis;superpower_Cryokinesis;superpower_Elemental_Transmogrification;superpower_Magnetokinesis;superpower_Chlorokinesis;superpower_Resurrection;superpower_Portal_Creation;superpower_Thirstokinesis;superpower_Power_Nullifier;superpower_Animation;superpower_Photographic_Reflexes;superpower_Atmokinesis;superpower_Nova_Force;superpower_Chronokinesis;superpower_Radiation_Control;superpower_Web_Creation;superpower_Power_Cosmic;superpower_Changing_Armor;superpower_Biokinesis;superpower_Seismic_Power;superpower_Qwardian_Power_Ring;superpower_Summoning;superpower_Adaptation;superpower_Electrical_Transport;superpower_Insanity;superpower_Anti-Gravity;superpower_Matter_Absorption;superpower_Psychokinesis;superpower_Omnipotence;superpower_Death_Touch;superpower_Intuitive_aptitude;superpower_Melting
superpower_Vision_-_Telescopic;4;7;19;8;5;7;15;24;2;3;2;1;15;2;1;11;2;9;5;0;1;22;5;4;4;4;19;1;1;3;2;56;0;1;0;0;2;1;4;16;10;0;8;0;0;0;1;6;12;2;1;2;0;0;0;2;0;1;1;0;0;0;0;1;1;0;8;0;0;2;0;0;0;0;1;1;0;5;0;4;5;2;1;0;1;12;0;0;0;0;0;5;0;0;0;1;10;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;13;0;0;0;2;0;1;0;2;0;0;1;12;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
superpower_Animal_Attributes;1;8;6;1;0;6;7;11;2;0;0;0;5;0;2;0;0;1;0;2;0;4;0;0;0;0;8;0;0;0;0;0;32;11;2;3;1;0;1;0;6;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;5;6;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
superpower_Animal_Oriented_Powers;0;14;11;1;2;9;12;19;2;0;0;0;12;0;2;0;0;1;0;3;0;8;0;0;0;0;13;0;0;0;2;1;11;52;2;2;3;0;3;3;10;0;2;7;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;8;1;4;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
superpower_Toxikinesis;0;1;2;0;0;1;2;4;0;1;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;3;0;2;2;12;1;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
superpower_Empathy;2;3;3;1;1;0;1;4;2;1;1;0;1;3;0;0;0;2;0;0;2;4;1;0;1;1;3;3;0;0;1;0;3;2;1;16;2;0;1;1;0;0;0;2;0;2;1;0;2;0;1;0;0;0;0;0;0;1;0;2;0;1;1;1;2;1;0;2;1;3;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Size_Changing;1;4;9;8;3;4;6;24;11;1;0;1;5;11;1;5;2;13;1;0;8;17;8;0;4;4;10;8;4;0;0;2;1;3;0;2;72;1;3;2;3;0;1;1;0;4;2;2;16;6;2;0;4;0;0;7;0;4;1;2;1;0;0;0;1;0;1;1;2;14;1;0;4;3;6;2;0;0;2;1;1;1;1;0;2;4;1;1;2;1;4;2;0;0;0;0;1;0;2;0;2;1;0;0;1;0;0;0;0;0;2;0;2;0;1;5;1;0;1;0;1;0;0;1;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Hydrokinesis;1;1;3;1;1;3;1;5;4;4;0;1;0;0;0;0;1;1;0;0;0;2;2;0;1;1;3;1;1;0;0;1;0;0;0;0;1;16;2;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;1;1;0;0;1;1;2;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;2;3;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Endurance;4;11;22;8;7;15;19;33;7;4;3;2;12;2;0;1;0;4;2;0;0;11;2;1;3;3;25;3;1;0;4;4;1;3;1;1;3;2;74;6;11;1;3;2;0;1;0;3;9;5;1;0;1;0;0;0;0;1;2;2;0;0;0;1;2;1;6;3;4;5;0;0;1;0;3;2;1;2;0;1;2;4;3;1;1;5;0;0;0;0;1;2;0;0;2;1;3;0;1;0;0;1;1;1;2;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0;1;0;0;1;4;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
superpower_Enhanced_Hearing;3;6;14;12;6;7;18;21;4;2;3;1;13;2;0;9;1;7;2;0;2;20;4;4;2;3;19;2;1;0;2;16;0;3;1;1;2;1;6;56;14;3;6;1;0;1;2;3;13;1;1;0;1;0;0;1;0;1;1;1;1;1;2;1;1;0;8;0;1;1;0;0;1;0;3;2;0;2;0;3;6;1;1;0;2;12;0;0;0;0;1;2;0;0;1;2;10;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;10;0;0;0;1;0;1;0;2;0;0;1;11;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
superpower_Enhanced_Senses;4;22;21;10;10;17;28;38;6;2;3;1;24;0;1;7;1;5;2;3;3;20;4;4;2;3;30;1;2;0;5;10;6;10;0;0;3;1;11;14;96;1;8;4;0;0;0;5;14;2;1;1;0;0;0;1;0;2;2;2;1;0;0;2;1;3;15;10;1;8;0;0;0;0;1;3;0;1;0;2;6;2;1;0;2;9;0;0;0;0;0;4;0;0;0;2;6;0;0;0;1;1;0;1;1;1;1;1;2;1;0;0;8;0;0;0;2;1;2;1;1;0;1;1;8;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Sonar;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;1;8;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Vision_-_Night;4;10;9;2;1;11;9;12;2;4;2;1;8;1;0;3;2;3;2;2;1;4;2;0;3;2;11;2;1;0;0;8;3;2;0;0;1;1;3;6;8;1;28;5;0;0;0;3;2;0;1;2;0;0;0;1;0;0;0;0;0;0;0;1;1;1;4;3;0;1;0;0;0;0;0;1;0;0;0;2;3;1;1;0;1;2;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;3;1;0;0;2;0;0;1;2;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
superpower_Wallcrawling;1;16;10;1;1;15;14;18;2;0;1;0;11;0;0;0;0;2;0;6;1;4;0;1;0;0;16;2;0;0;1;0;6;7;2;2;1;0;2;1;4;0;5;38;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;7;9;1;7;1;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
superpower_Energy_Armor;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Psionic_Powers;0;4;4;3;2;1;5;10;15;0;0;0;3;6;1;5;5;8;0;0;9;12;10;1;2;2;3;6;0;0;1;0;0;0;0;2;4;0;1;1;0;0;0;1;1;62;1;1;3;0;0;0;1;0;0;3;1;8;1;1;1;1;1;0;0;0;0;1;1;2;0;0;2;2;11;1;1;0;0;0;0;0;1;0;0;0;9;7;9;1;6;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;0;0;0;0;4;3;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
superpower_Omnilingualism;0;0;1;4;1;1;1;5;2;0;0;0;1;2;0;1;0;2;0;0;1;5;2;2;1;1;3;2;0;0;0;1;0;0;0;1;2;0;0;2;0;0;0;0;0;1;12;1;3;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Weapon-based_Powers;11;15;20;7;5;10;21;25;1;3;8;1;12;1;1;3;3;12;6;3;0;13;7;1;3;2;19;6;1;0;2;6;0;2;0;0;2;1;3;3;5;1;3;3;0;1;1;96;5;1;1;3;0;0;0;1;1;0;0;3;0;0;0;6;2;0;6;3;1;5;0;0;1;0;1;1;0;2;1;1;1;0;2;3;1;1;0;0;1;1;1;3;0;0;0;2;1;0;1;0;0;0;0;1;3;0;0;0;0;0;1;0;1;0;0;0;4;1;2;0;1;0;0;1;1;0;0;4;0;4;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
superpower_Invulnerability;2;9;28;18;15;10;35;57;11;2;2;1;22;18;1;14;3;19;1;1;11;38;14;6;5;5;40;13;3;0;9;12;0;1;1;2;16;1;9;13;14;0;2;0;0;3;3;5;122;13;4;0;3;0;0;6;1;4;4;7;2;0;0;0;1;0;9;2;2;9;0;0;5;2;9;4;0;2;1;2;3;3;3;0;2;15;0;0;1;1;3;2;0;0;4;2;11;0;2;0;1;3;0;1;2;0;1;0;0;1;2;0;10;0;1;3;1;1;1;0;2;0;0;1;13;0;0;2;0;2;0;1;1;0;0;1;0;1;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
superpower_Self-Sustenance;0;0;12;6;7;4;9;19;5;0;1;0;7;4;3;4;2;10;0;0;2;12;5;1;2;3;15;2;0;0;4;2;0;0;0;0;6;0;5;1;2;0;0;0;0;0;2;1;13;42;2;0;1;0;0;5;0;3;1;3;1;0;0;0;0;0;1;1;2;3;0;0;1;0;4;2;0;0;1;2;0;1;1;0;1;2;1;0;1;1;0;2;0;0;3;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
superpower_Duplication;3;3;2;2;5;1;5;6;2;1;2;1;2;3;1;0;0;3;0;1;3;3;3;0;1;1;5;4;1;0;1;1;0;0;0;1;2;1;1;1;1;0;1;1;0;0;0;1;4;2;16;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;3;0;0;0;0;1;1;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;1;0;1;0;2;0;0;1;2;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Radiation_Immunity;2;0;3;0;1;1;1;4;0;2;0;0;1;0;1;2;2;2;3;0;0;4;1;0;2;1;3;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;3;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Density_Control;0;2;3;1;0;1;3;6;2;0;0;0;3;2;1;2;1;2;0;0;0;3;1;0;1;1;2;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;1;0;0;3;1;0;0;16;0;0;1;0;1;2;0;0;0;0;0;0;0;0;1;2;5;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
superpower_Illumination;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Molecular_Combustion;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Molecular_Manipulation;0;5;11;4;3;4;8;19;8;0;1;0;6;9;1;8;2;11;0;0;8;12;6;0;0;1;16;5;4;0;2;2;0;0;0;0;7;0;0;1;1;0;1;0;0;3;0;1;6;5;1;0;1;2;1;50;0;4;1;3;1;0;1;0;0;1;0;0;1;7;0;0;3;1;7;0;0;0;1;1;0;1;1;0;2;1;4;3;5;1;4;2;0;0;0;0;1;1;3;0;1;0;0;0;2;0;1;0;0;0;5;0;2;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
superpower_Astral_Travel;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;1;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;6;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
superpower_Illusions;0;1;4;2;2;0;3;7;13;0;0;0;4;4;1;3;0;3;0;0;4;9;6;2;4;4;5;5;0;0;1;1;0;0;0;1;4;0;1;1;2;0;0;0;0;8;1;0;4;3;0;0;1;0;0;4;2;30;4;3;1;0;0;0;0;1;0;0;1;2;0;0;3;1;7;1;0;0;0;0;0;0;0;0;1;1;10;6;7;2;6;2;0;0;0;0;0;0;2;1;2;1;0;0;2;0;0;0;0;0;2;2;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Intangibility;0;2;3;2;1;1;4;7;4;0;0;1;0;2;1;1;1;3;0;0;0;9;2;1;4;6;6;6;0;0;0;1;0;0;0;0;1;0;2;1;2;0;0;0;0;1;0;0;4;1;0;0;2;0;0;1;2;4;26;3;1;0;0;0;0;0;0;1;1;3;0;0;3;0;3;2;0;0;0;0;0;0;0;0;1;2;2;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Magic;1;4;6;5;8;3;13;16;5;0;2;1;7;5;0;1;1;7;0;0;2;11;3;2;3;1;11;11;1;0;3;0;0;0;0;2;2;1;2;1;2;0;0;1;0;1;1;3;7;3;1;0;0;0;0;3;2;3;3;50;1;0;0;0;1;0;0;1;0;5;0;0;4;0;3;1;1;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;0;0;2;1;0;1;5;0;1;0;0;1;3;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;2;0;0;0;0;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
superpower_Precognition;0;1;1;0;0;0;2;4;2;0;0;0;1;1;0;0;0;2;0;0;1;3;1;1;1;0;3;2;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;2;1;1;0;0;0;0;1;1;1;1;1;10;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
superpower_Audiokinesis;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Sonic_Scream;0;1;2;0;1;1;1;2;2;0;0;0;0;0;0;1;0;2;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;14;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Human_physical_perfection;12;8;0;4;1;4;4;1;1;0;7;0;1;0;0;2;0;1;0;1;1;1;1;1;0;0;0;0;0;0;2;1;1;0;0;1;0;0;1;1;2;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;5;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Stealth;7;9;2;4;2;3;9;3;1;1;7;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;1;0;0;2;1;0;0;1;2;1;0;2;1;1;0;1;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;5;22;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Dexterity;1;4;1;1;0;2;3;4;1;0;0;0;3;0;0;0;0;0;0;1;0;1;1;0;0;0;3;0;0;0;0;0;3;0;0;1;0;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;10;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Jump;1;11;23;7;6;10;19;30;2;1;0;1;19;1;2;7;0;3;1;6;0;8;2;5;1;1;21;1;1;0;1;8;5;5;1;0;1;1;6;8;15;1;4;7;0;0;0;6;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;64;8;0;4;0;0;0;0;1;1;0;1;0;1;2;0;0;3;0;8;0;0;1;1;0;1;0;0;0;1;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;3;2;1;0;1;0;0;1;8;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
